Nitrogen,Phosphorus,Potassium,temperature,humidity,ph,rainfall,label
185,41,275,26.11315328952049,85.14192273066546,6.458674121175139,85.0297941322356,plantain
184,42,268,27.479101647858997,85.33592178598198,5.61201596090572,81.519788718735,plantain
192,46,257,26.110585164857337,83.22492111778388,6.669467667825864,76.19359825301626,plantain
188,55,234,28.84663566093705,83.33582423676087,6.830546841052872,60.75686120648555,plantain
152,44,208,29.014082582774886,86.11730241785331,5.8534071666515555,75.52330491220206,plantain
175,41,276,27.26452394824406,84.29673407126472,6.864638144590661,89.62216926091638,plantain
195,48,255,29.407535630499137,88.5523128897385,6.830169248261646,66.48631615248155,plantain
151,53,294,26.948377456375265,83.46493189478254,6.673618551007117,63.906131497373345,plantain
191,45,244,28.33717310227334,80.91062034022309,5.537205419022908,74.5344819741938,plantain
166,43,227,28.00568481831383,89.4444565833009,6.172250593904672,78.37033889848828,plantain
150,49,289,26.772700986126804,85.21495711817492,6.492929076829399,86.52661698382244,plantain
195,57,234,28.09806186902045,83.75176300254422,5.809740220064683,66.31194611463079,plantain
172,51,229,26.55676428307682,84.8430918015902,6.899950578928917,61.56928914910552,plantain
168,43,267,28.583359890735945,85.03284260640852,6.51176814768794,76.29295510480105,plantain
160,41,253,26.67388806298714,89.87612749888326,6.3445152262866715,67.66581269258427,plantain
171,41,289,27.56556899646951,84.19404231838969,6.5805575615546585,97.08734227634798,plantain
178,58,276,26.372343129491604,81.87487900682306,5.781394226080058,99.80454667104752,plantain
154,45,230,28.809102732052107,81.75197307252283,5.573706245200964,97.30334360471181,plantain
157,48,290,26.535530252077187,87.31293495918486,5.685945608663856,75.41615838180832,plantain
190,50,254,27.59448795304393,87.48601208960659,6.669090855666986,94.90826057000497,plantain
177,52,284,26.613388887876262,80.13187953038688,6.288179433868533,68.56368607449059,plantain
186,53,223,28.40091907024196,80.26693492899994,5.571623904125879,75.15836809846398,plantain
152,42,224,27.48822833525889,85.485524830222,6.938075071472942,63.37186925578747,plantain
151,54,212,26.4234969887798,84.2665092924221,5.667052818056693,84.56916589118254,plantain
176,58,262,27.77963047284199,83.2714220591908,6.373943065118034,91.1697802037736,plantain
156,53,241,29.54292998273521,85.46814867528825,6.1656030009335705,93.2044982141331,plantain
194,55,261,27.126544748879397,84.82376005590339,6.233446322385069,98.12199487332943,plantain
176,46,246,29.814026789185938,89.09353799744396,6.792985270558667,83.13053621621097,plantain
192,45,211,28.576265705059143,85.66564061389727,6.802983510628736,85.12957870221732,plantain
164,45,298,28.971364827088003,86.12139892370752,5.676890198519681,68.66249476253037,plantain
192,41,212,27.799691608239538,81.77709846776173,6.546697200796311,78.99117285227783,plantain
151,45,277,29.588983748935462,89.35117122858034,6.5876627412685655,69.86703015836952,plantain
183,42,253,26.312697580115866,88.49628974440412,6.801602434412831,91.48102969953894,plantain
160,40,271,28.870089914704153,89.97033307563153,6.985455536500052,93.05059242886102,plantain
175,46,205,29.6722892443776,83.24379702363481,6.455087000827156,72.24170258456215,plantain
191,56,247,28.24086605350667,85.57669382825458,5.555251142042923,96.65727210350614,plantain
185,52,263,27.60403210751531,85.14951867190076,6.09368644607525,71.02963440395696,plantain
155,48,271,29.406491820493326,89.23114120870054,5.506884168259289,95.43436862465909,plantain
167,41,278,29.733810455152742,82.40244575017627,6.774987399232563,97.78299842356572,plantain
184,50,284,28.98408140284542,84.05523384541132,5.846776464415791,73.78828969326216,plantain
169,54,291,28.509367844568956,83.82516341213179,5.852535330564502,70.77684483038061,plantain
157,58,281,29.51258207576624,84.5796267750862,6.96164179033817,81.2552780044556,plantain
199,57,258,27.448451263957775,88.67065361950885,6.150130019965449,97.85219618959977,plantain
178,52,273,28.51629222701084,88.47741334892726,6.488735142505242,68.52288123922028,plantain
160,56,229,29.811363928381198,82.40319883262553,6.609827450319861,75.10341948402659,plantain
166,40,275,28.915953154927074,86.5566267493875,6.130054905167437,84.12237517986105,plantain
159,57,280,29.57389501865218,89.30727767761856,6.350463034854789,70.49554829190848,plantain
153,43,254,26.47815518499168,89.52500943839824,6.948117412684273,71.66351652787017,plantain
193,52,213,29.476172515299677,80.18548970490919,6.733618865528808,80.53612989500678,plantain
167,57,260,29.10939952850852,84.18794687686159,6.409220226002772,90.21273313172159,plantain
173,58,266,27.450230191064705,81.17762741943001,6.51954244603664,87.00655780400251,plantain
153,43,292,29.98636878472218,83.26515170243212,5.956520646393541,94.98535155025617,plantain
194,43,285,27.82217157110629,81.15627455125586,6.113042004494638,65.41531216318556,plantain
189,57,238,27.357568550488274,85.04803772328225,6.4013700599669825,97.51511287914741,plantain
199,56,224,28.05710213731975,80.65544372383656,5.652107819943301,81.732634554972,plantain
